id,image_id,question,label
54,54.png,"For the pair of similar figures, use the given areas to find the scale factor of the blue to the green figure.",\frac { 5 } { 2 }
55,55.png,"If TP = 4x + 2, QP = 2y – 6, PS = 5y - 12, and PR = 6x - 4, find y so that the quadrilateral is a parallelogram.",2
56,56.png,Find the area of the parallelogram. Round to the nearest tenth if necessary.,60
57,57.png,Find y.,\sqrt { 510 }
58,58.png,Find the area of the figure. Round to the nearest tenth if necessary.,50
59,59.png,Find $x$ so that the quadrilateral is a parallelogram.,8
60,60.png,Find the area of the triangle. Round to the nearest hundredth.,3.40
61,61.png,Find the length of $FG$,39
62,62.png,"Find $E D$ if $A B=6, B C=4,$ and $A E=9$",6
63,63.png,"In $\odot G, m \angle A G B=30$ and $\overline{C G} \perp \overline{G D}$.
Find $m \widehat{A B}$",30
64,64.png,Point $S$ is the incenter of $\triangle JPL$. Find $QJ$.,8
65,65.png,"In rhombus LMPQ, $m \angle Q L M=2 x^{2}-10$, $m \angle Q P M=8 x$,  and $M P=10$ . 
Find $m\angle LQM$",70
66,66.png,"For trapezoid QRST, M and P are midpoints of the legs. If PM = 2x, QR = 3x, and TS = 10, find PM.",20
67,67.png,"Polygon ABCD ~ polygon AEFG, $m\angle AGF = 108$, GF = 14, AD = 12, DG = 4.5, EF = 8, and AB = 26.
Find DC",22.4
68,68.png,"In $\odot Z, \angle W Z X \cong \angle X Z Y, m \angle V Z U=4 x$, $m \angle U Z Y=2 x+24,$ and $\overline{V Y}$ and $\overline{W U}$ are diameters.
Find $m\widehat{U Y}$",76
69,69.png,Find $x$.,17.5
70,70.png,Find $m \angle R$.,32
71,71.png,Find $m\angle A$,90
72,72.png,Find $x$.,3
73,73.png,"If $\overline{MS}$ is a median of $ \triangle MNQ$, $QS = 3a - 14$, $SN = 2a + 1$, and $m∠MSQ = 7a + 1$, find the value of $a$.",15
74,74.png,Find the area of the triangle. Round to the nearest hundredth.,23.39
75,75.png,Find $m \angle K$.,97
76,76.png,$ \triangle WXY $  and $ \triangle XYZ $ are isosceles and $m∠XYZ = 128$. Find the measure of $∠WXY$.,76
77,77.png,Trapezoid $ABCD$ has an area of 750 square meters. Find the height of $ABCD$.,25
78,78.png,Find $x$. A = 165 cm$^2$.,11
79,79.png,Find the perimeter of the parallelogram.,96
80,80.png,Find $x$ so that the quadrilateral is a parallelogram,11
81,81.png,Find the area of the figure. Round to the nearest tenth if necessary.,96.5
82,82.png,"In the figure, $\overline{FJ} \cong \overline{FH}$ and $\overline{GF} \cong \overline{GH}$. If $m∠GHJ=152$ and  $m∠G=32$, find $m∠JFH$.",24
83,83.png,"The diameters of $\odot A, \odot B,$ and $\odot C$ are 10 inches,
20 inches, and 14 inches, respectively.
Find BY",3
84,84.png,"In the figure, $m∠1 = 50$ and $m∠3 = 60$. Find the measure of $\angle 2$.",110
85,85.png,Find the angle measure of $\angle3$.,90
86,86.png,Find x to the nearest tenth.,150
87,87.png,"Find the area of the figure. Round to the nearest tenth, if necessary.",1050
88,88.png,Find $z$ in the figure.,42
89,89.png,"Find x. Round to the nearest tenth if necessary. Assume that segments that appear
to be tangent are tangent.",6
90,90.png,Find $m \angle 4$.,52
91,91.png,Find the value of the variable $x$ in the figure.,70
92,92.png,Find $x$. Round to the nearest tenth.,20.1
93,93.png,"Quadrilateral WXYZ is a rectangle. If $XZ = 2c$ and $ZY = 6$, and $XY = 8$, find $WY$.",10
94,94.png,"In $\odot G, m \angle A G B=30$ and $\overline{C G} \perp \overline{G D}$.
Find $m \widehat{F A B}$",180
95,95.png,Find the area of the shaded region. Assume that all polygons that appear to be regular are regular. Round to the nearest tenth.,54.4
96,96.png,Find the perimeter of the triangle. Round to the nearest tenth if necessary.,48
97,97.png,Rhombus $WXYZ$ has an area of 100 square meters. Find $WY$ if $XZ = 10$ meters.,20
98,98.png,Use parallelogram NQRM to find w,12
99,99.png,Find the area of the figure. Round to the nearest tenth if necessary.,310
100,100.png,"In $\odot F$, $\overline{AB} \cong \overline{BC}$, $DF=3x-7$, and $FE=x+9$. What is $x$?",8
101,101.png,Express the ratio of $\tan V$ as a decimal to the nearest hundredth.,0.29
102,102.png,Find the measure of $\angle 4$ if $\overline{AB} \perp \overline{BC}$.,40
103,103.png,Express the ratio of $\sin V$ as a decimal to the nearest hundredth.,0.28
104,104.png,Find $y$ so that the quadrilateral is a parallelogram.,8
105,105.png,$m \angle B=76$. The measure of $\angle A$ is half the measure of $\angle B$. What is $m \angle C$?,66
106,106.png,Find $x$ if $\triangle JMN$ is an isosceles triangle with $\overline{JM} \cong \overline{M N}$.,4
107,107.png,Find $x$ so that the quadrilateral is a parallelogram.,40
108,108.png,$H$ is the incenter of $\triangle ABC$. Find $m \angle HAC$.,32
109,109.png,Find y.,14
110,110.png,"In $\odot A, m \angle E A D=42$. Find $m \widehat{E D B}$",222
111,111.png,"In $\odot D, \overline{D E} \cong \overline{E C}, m \overline{C F}=60,$ and
$\overline{D E} \perp \overline{E C} .$ Find $m \angle 4$",45
112,112.png,Use parallelogram ABCD to find BC,9
113,113.png,Find x,5 \sqrt { 3 }
114,114.png,Find x. Assume that any segment that appears to be tangent is tangent.,30
115,115.png,For isosceles trapezoid $X Y Z W$ find the length of the median,14
116,116.png,Refer to the figure at the right. Find the value of $m ∠ CBD $ if $ p \parallel q $.,105
117,117.png,Find x,2 \sqrt { 21 }
118,118.png,Find the variable of $c$ to the nearest tenth. Assume that segments that appear to be tangent are tangent.,22.8
119,119.png,Quadrilateral ABCD is a rectangle. Find y,5
120,120.png,Find the value of the variable m.,4
121,121.png,Find the value of $s$ in the parallelogram.,13
122,122.png,Find x. Round the side measure to the nearest tenth.,34.8
123,123.png,$\overline{JH}$ is a midsegment of $\triangle KLM$. Find $x$.,11
124,124.png,Find cosA,\frac { 5 \sqrt { 26 } } { 26 }
125,125.png,Find x. Round to the nearest tenth.,23.2
126,126.png,Find the perimeter of the parallelogram. Round to the nearest tenth if necessary.,164
127,127.png,Find the area of $▱ ABCD$.,50
128,128.png,"If $AC=14,BC=8$, and $AD=21$, find $ED$.",12
129,129.png,"If $\overline{NQ}$ and $\overline{VX}$ are medians, $\triangle PNR \sim \triangle WVY, NQ=8, PR=12,WY=7x-1,$ and $VX=4x+2,$ find $x$.",4
130,130.png,Find y.,10
131,131.png,Find $y$ in the figure.,45
132,132.png,"ABCD is a rhombus. If EB = 9, AB = 12 and $m\angle ABD = 55$ . Find CE",\sqrt { 63 }
133,133.png,$H$ is the incenter of $\triangle ABC$. Find $BD$.,7 \sqrt 3
134,134.png,Point $S$ is the incenter of $\triangle JPL$. Find $m \angle MPQ$.,56
135,135.png,"In $\odot P, P D=10, P Q=10,$ and $Q E=20$, find PE",10 \sqrt { 5 }
136,136.png,"Quadrilateral DEFG is a rectangle. If $DF = 2(x + 5) - 7$ and $EG = 3(x - 2)$, find EG.",21
137,137.png,Find $x$ so that each quadrilateral is a parallelogram.,8
138,138.png,Find $x$.,18
139,139.png,Find x,7
140,140.png,Refer to the triangle shown below. Find $z$ to the nearest tenth.,\frac { 5 } { 2 } \sqrt { 41 }
141,141.png,"Find $PW$, if $XZ = 18$ and $PY = 3$",15
142,142.png,$\overline{E C}$ and $\overline{A B}$ are diameters of $\odot O$.  Find its measure of $\widehat{A C B}$.,180
143,143.png,"In the figure, $QR \| TS$, $QT \| RS$, and $m \angle 1=131$. Find the measure of $\angle 4$.",49
144,144.png,Find $MN$.,29
145,145.png,Find the measure of $∠A$ to the nearest tenth.,78.5
146,146.png,"If $\angle R S T$ is a right angle, $\overline{SU} \perp \overline{RT}$, $\overline{UV} \perp \overline{ST},$ and $m \angle RT S=47,$ find $m \angle RSU$",47
147,147.png,$\triangle K L N$ and $\triangle L M N$ are isosceles and $m \angle J K N=130$. Find the measure of $\angle LKN$.,81
148,148.png,Find $m\angle M$,96
149,149.png,What is the value of tan x?,\frac { 5 } { 12 }
150,150.png,"If the polygon shown is regular, what is $m\angle ABC$",140
151,151.png,Find $m \angle 5$.,55
152,152.png,"$a=14, b=48,$ and $c=50$, find $sinB$",0.96
153,153.png,Find the base of the parallelogram given its area with 2000 square units.,50
154,154.png,Find $x$.,11.2
155,155.png,Find x to the nearest tenth. Assume that segments that appear to be tangent are tangent.,13
156,156.png,"ABCD is a trapezoid.
If $m\angle ABC = 4x + 11$ and $m\angle DAB = 2x + 33$, find the value of $x$ so that ABCD is isosceles.",11
157,157.png,"In $\triangle ABC$, $\overline{AD}$ and $\overline{DC}$ are angle bisectors and $m \angle B=76$. What is the measure of $\angle ADC $?",128
158,158.png,Find $x$.,11
159,159.png,Find $x$ in the given parallelogram,31
160,160.png,Find $z$.,20
161,161.png,Find x.,8.4
162,162.png,Find $x$.,7
163,163.png,"In the figure, $m∠11 = 62$ and $m∠14 = 38$. Find the measure of $\angle 8$.",62
164,164.png,The triangle is inscribed in $\odot D$. Find the exact circumference of $\odot D$.,4 \sqrt { 13 } \pi
165,165.png,"In $\odot F$, $GK=14$ and $m \widehat{GHK}=142$. Find $m \widehat {GH}$.",71
166,166.png,"In the figure, the vertices of quadrilateral ABCD intersect square EFGH and divide its sides into segments with measures that have a ratio of 1:2. Find the area of ABCD.",45
167,167.png,Refer to the triangle shown below. Find $x$ to the nearest tenth.,10
168,168.png,Find x to the nearest tenth. Assume that segments that appear to be tangent are tangent.,7.4
169,169.png,"For the pair of similar figures, use the given areas to find the scale factor from the blue to the green figure.",\frac { 1 } { \sqrt { 3 } }
170,170.png,What is the measure of $\angle KLM$.,32
171,171.png,What is the circumference of $\odot T$? Round to the nearest tenth.,40.8
172,172.png,"Use rhombus $A B C D$ with $m \angle 1=2 x+20, m \angle 2=5 x-4$, $A C=15,$ and $m \angle 3=y^{2}+26 .$ 
Find x",8
173,173.png,Find the measure of $\angle 5$.,75
174,174.png,Find $m \angle X$,117
175,175.png,Find AS,8
176,176.png,Find x,7 \sqrt { 3 }
177,177.png,Quadrilateral ABCD is shown. AC is 40 and BD is $\frac{3}{5}$ AC . BD bisects AC. For what value of $x$ is ABCD a parallelogram.,4
178,178.png,"In the figure, $m∠2= 110$ and $m ∠ 12 = 55$. Find the measure of $∠2$.",70
179,179.png,Find $m \angle 1$.,108
180,180.png,"If $FK = 3x - 1$, $KG = 4y + 3$, $JK = 6y - 2$, and $KH = 2x + 3$, find $x$ so that the quadrilateral is a parallelogram.",4
181,181.png,"$\overline{AB}$ is a diameter, $AC=8$ inches, and $BC=15$ inches. Find the diameter of the circle.",17
182,182.png,$H$ is the incenter of $\triangle ABC$. Find $DH$.,7
183,183.png,$\overline{XY}$ and $\overline{XZ}$ are midsegments of $\triangle RST$. Find $XZ$.,6.5
184,184.png,Find the perimeter of the triangle.,71.7
185,185.png,Find $m \widehat {RT}$.,126
186,186.png,Find $x$.,60
187,187.png,Find x,6
188,188.png,"If the perimeter of square 2 is 200 units and the perimeter of square 1 is 150 units, what is the perimeter of square 3?",250
189,189.png,"In $\odot F$, find $m \widehat {ADB}$.",243
190,190.png,Express the ratio of $\sin Q$ as a decimal to the nearest hundredth.,0.47
191,191.png,Find the measure of $∠T$ to the nearest tenth.,28.5
192,192.png,"Find the perimeter of the figure. Round to the nearest hundredth, if necessary.",9.2
193,193.png,$\triangle NDG \cong \triangle LGD$. Find $x$.,54
194,194.png,Find $y$ in the figure.,26.3
195,195.png,Find $y$.,8
196,196.png,What is the measure of an interior angle of a regular pentagon?,108
197,197.png,Find the area of the shaded region. Round to the nearest tenth.,471.2
198,198.png,"In the figure at the right, which cannot be true if $ m \parallel l $ and $ m ∠1 = 73 $?",\angle 1 \cong \angle 4
199,199.png,Find the diameter of circle M.,38.0
200,200.png,Find $m \angle C G D$,150
201,201.png,Find $x$.,28
202,202.png,"If $\angle R S T$ is a right angle, $\overline{SU} \perp \overline{RT}$, $\overline{UV} \perp \overline{ST},$ and $m \angle RT S=47,$ find $m \angle TUV$",43
203,203.png,Find $JM$.,5.5
204,204.png,Find $x$ so that the quadrilateral is a parallelogram.,4
205,205.png,Find the perimeter of the figure.,44
206,206.png,Use a Pythagorean Triple to find x.,28
207,207.png,Find $VS$.,20
208,208.png,"Find the area of the figure in feet. Round to the nearest tenth, if necessary.",31.2
209,209.png,Use a Pythagorean Triple to find x.,50
210,210.png,Find the area of the shaded sector. Round to the nearest tenth.,3.4
211,211.png,Find $y$ so that the quadrilateral is a parallelogram.,22
212,212.png,Find $x$.,13
213,213.png,Find $y$ in the given parallelogram,15
214,214.png,Find $x$ in the figure.,34
215,215.png,Find the area of the parallelogram. Round to the nearest tenth if necessary.,259.8
216,216.png,Use parallelogram MNPR to find $m \angle NRP$,33
217,217.png,Find $m \angle A B C$ if $m \widehat{A B}=102$,129
218,218.png,Find z,4 \sqrt { 3 }
219,219.png,Find $m \widehat {GH}$.,140
220,220.png,Find the area of the shaded region. Assume that all polygons that appear to be regular are regular. Round to the nearest tenth.,114.2
221,221.png,Find the exact circumference of $\odot P$,13 \pi
222,222.png,Find $m \angle 2$.,73
223,223.png,Find the length of $CB$ in the isosceles triangle ABC.,7
224,224.png,Find $x$.,225
225,225.png,"In $\triangle D E F, P$ is the midpoint of $\overline{D E},$ and $Q$ is the midpoint of side $\overline{D F} .$ If $E F=3 x+4$ and $P Q=20$, what is the value of $x ?",12
226,226.png,Find x. Assume that any segment that appears to be tangent is tangent.,8
227,227.png,Find $m \angle C$.,122
228,228.png,Find $x$.,6
229,229.png,"For trapezoid $D E G H, X$ and $Y$ are midpoints of the legs. Find $D E$",8
230,230.png,Find $m \angle SRT$.,65
231,231.png,Find x. Assume that any segment that appears to be tangent is tangent.,5
232,232.png,Find the area of the parallelogram. Round to the nearest tenth if necessary.,57.9
233,233.png,Find the measure of $\angle Q$,106
234,234.png,Find the measure of $\angle AFD$ on $\odot F$ with diameter $\overline{AC} $.,57
235,235.png,Find x. Round the side measure to the nearest tenth.,22.8
236,236.png,Find y,21
237,237.png,$\triangle RST \cong \triangle ABC$. Find $y$.,21
238,238.png,Find $DH$.,20
239,239.png,Find $y$.,40
240,240.png,"Quadrilateral WXYZ is a rectangle. If $XW = 3$, $WZ = 4$, and $XZ = b$, find $YW$.",5
241,241.png,Find $m\widehat{ES}$,100
242,242.png,Triangle $A D C$ is circumscribed about $\odot O .$ Find the perimeter of $\triangle A D C$ if $E C=D E+A F$,100
243,243.png,"Find the perimeter of the figure. Round to the nearest hundredth, if necessary.",37.9
244,244.png,"Segments $\overline{AD}$ and $\overline{CE}$ are medians of $\triangle ACB, \overline{AD} \perp \overline{CE}, AB=10$, and $CE=9$. Find $CA$",\sqrt { 52 }
245,245.png,Find the measure of $\angle 6$ if $\overline{A B} \perp \overline{B C}$.,26
246,246.png,"Points $S$, $T$, and $U$ are the midpoints of $\overline{DE}$, $\overline{EF}$, and $\overline{DF}$, respectively. Find $z$.",0.575
247,247.png,Find y,3
248,248.png,Find the measure of the altitude drawn to the hypotenuse.,\sqrt { 612 }
249,249.png,Find y,5.5 \sqrt { 3 }
250,250.png,Find DX if $E X=24$ and $D E=7$,25
251,251.png,Find $m \angle A$.,20
252,252.png,Find $m\angle 2$,130
253,253.png,Find $SR$.,4
254,254.png,Find x,\frac { 19 \sqrt { 2 } } { 2 }
255,255.png,Find y.,\frac { 15 } { 2 }
256,256.png,Find x to the nearest tenth. Assume that segments that appear to be tangent are tangent.,3.1
257,257.png,Find x.,4 \sqrt { 3 }
258,258.png,$\overline{JH}$ is a midsegment of $\triangle KLM$. Find $x$.,10
259,259.png,Find $ST$.,5
260,260.png,Find x.,6
261,261.png,Find x,120
262,262.png,Find $SR$.,24
263,263.png,Polygon $BCDE$ $\cong$ polygon $RSTU$. Find $w$.,10
264,264.png,Find x.,2 \sqrt { 78 }
265,265.png,Find $x$.,15
266,266.png,Find $m \angle 6$.,49
267,267.png,Find the value of $x$ in each diagram,52
268,268.png,"$ABCD$ is a rhombus. If $PB = 12$, $AB = 15$, and $m\angle ABD = 24$. Find $m\angle ACB$",66
269,269.png,Find x.,48
270,270.png,Find $y$.,2
271,271.png,Use parallelogram JKLM to find $m \angle MJK$ if $J K=2 b+3$ and $J M=3 a$.,100
272,272.png,$ABCD \sim QSRP$. Find $x$.,63
273,273.png,Find the variable of $r$ to the nearest tenth. Assume that segments that appear to be tangent are tangent.,1.8
274,274.png,"If $x=7 \sqrt{3},$ find $a$",14 \sqrt { 3 }
275,275.png,Find $x$.,20
276,276.png,"If $\overline{M N} \| \overline{P Q}$, use a proportion to find the value of $x$.",10
277,277.png,"In $\odot G, m \angle A G B=30$ and $\overline{C G} \perp \overline{G D}$.
Find $m \widehat{C D F}$",120
278,278.png,Find x.,9 \sqrt { 2 }
279,279.png,Find y.,10 \sqrt { 3 }
280,280.png,"In $\odot O, \overline{E C}$ and $\overline{A B}$ are diameters, and $\angle B O D \cong \angle D O E \cong \angle E O F \cong \angle F O A$
Find $m\widehat{A C B}$",180
281,281.png,Each triangle in the figure is a $30^{\circ}-60^{\circ}-90^{\circ}$ triangle. Find $x$,2.25
282,282.png,Find $m \angle 3$.,51
283,283.png,Find x,22
284,284.png,Find the area of the shaded sector. Round to the nearest tenth.,175.8
285,285.png,Find $m\angle D$,117
286,286.png,Find $m \angle 3$.,26
287,287.png,Find $x$.,107
288,288.png,"$\Delta DFG$  and $\Delta F G H$ are isosceles, $m \angle FDH=28$ and$\overline{DG} \cong \overline{FG} \cong \overline{FH}$. Find the measure of $\angle GFH$.",68
289,289.png,Find the area of the parallelogram. Round to the nearest tenth if necessary.,315
290,290.png,Find $y$ if $\overline{AD}$ is an altitude of $\triangle ABC$.,48
291,291.png,Find the area of the figure. Round to the nearest tenth if necessary.,12.4
292,292.png,"$\Delta DFG$  and $\Delta F G H$ are isosceles, $m \angle FDH=28$ and$\overline{DG} \cong \overline{FG} \cong \overline{FH}$. Find the measure of $\angle DFG$.",28
293,293.png,Find the value of x. Round to the nearest tenth.,7.8
294,294.png,The area $A$ of the shaded region is given. Find $x$. $A = 94$ in$^2$ .,55.0
295,295.png,Find EC,4.8
296,296.png,Find $x$.,6
297,297.png,Find x to the nearest tenth. Assume that segments that appear to be tangent are tangent.,10
298,298.png,Find x,2
299,299.png,Find the area of the shaded region. Round to the nearest tenth if necessary.,108.5
300,300.png,Find the perimeter of the parallelogram. Round to the nearest tenth if necessary.,92
301,301.png,"Rhombus $MNPQ$ has an area of 375 square inches. If $MP$ is 25 inches, find $NQ$.",30
302,302.png,"Find the area of the shaded sector. Round to the nearest tenth, if necessary.",167.1
303,303.png,Find AC,7 \sqrt { 3 }
304,304.png,Refer to the figure at the right. Find the value of $y$ if $ p \parallel q $.,105
305,305.png,Find $m\angle T$,58
306,306.png,Find y in the figure.,40
307,307.png,Find x.,32.2
308,308.png,"$UJ=9, VJ=3$, and $ZT=18$. Find $YU$.",13.5
309,309.png,Find $RT$.,8
310,310.png,Find $m \angle 3$.,95
311,311.png,Find $m \angle S$.,66
312,312.png,"Find the ratio of $MS$ to $SP$, given that $MNPQ$ is a parallelogram with $MR=\frac{1}{4} MN$",0.5
313,313.png,"If $D E=60$ and $F C=16,$ find $A B$",68
314,314.png,Find x. Round to the nearest degree.,63
315,315.png,Find the area of the shaded region. Assume the inscribed polygon is regular.,39.3
316,316.png,Find the measure of the altitude drawn to the hypotenuse.,2 \sqrt { 3 }
317,317.png,"WXYZ is a square. If $WT = 3$, find $m \angle WTZ$",90
318,318.png,Triangle $JKL$ is circumscribed about $\odot R$. Find the perimeter of $\triangle JKL$.,52
319,319.png,Find x.,5
320,320.png,"In $\odot R, S U=20, Y W=20,$ and $m \widehat{Y X}=45$.
Find SV",10
321,321.png,$P$ is the incenter of $\angle XYZ$. Find $m \angle LZP$.,32
322,322.png,"$\ln \odot K$, $ M N=16$ and $m \widehat{M N}=98$. Find the measure of $m \widehat{NJ}$. Round to the nearest hundredth.",131.00
323,323.png,Find x,13.6
324,324.png,Find x,8
325,325.png,Find the area of the shaded sector. Round to the nearest tenth.,46.5
326,326.png,"Find the perimeter of the $\triangle A B C,$ if $\triangle A B C \sim \triangle C B D, A D=5$, $C D=12,$ and $B C=31.2$",78
327,327.png,"Find $E H$ if $\triangle A B C \sim \triangle D E F, \overline{B G}$ is an altitude of $\triangle A B C, \overline{E H}$ is an altitude of $\triangle D E F, B G=3$, $B F=4, F C=2,$ and $C E=1$",\frac { 3 } { 2 }
328,328.png,Find y.,1.5
329,329.png,Find the measure of $\angle B$. Round to the nearest degree.,50
330,330.png,Find the perimeter of the triangle.,100.4
331,331.png,Quadrilateral ABCD is a rectangle. $m\angle 2 = 40$. Find $m \angle 5$,80
332,332.png,"If $\overline{PR} \| \overline{KL}, KN=9, LN=16,$ and $PM=2KP$, find $MN$.",12
333,333.png,Find $x$ so that $m || n$.,63
334,334.png,Find x. Assume that segments that appear to be tangent are tangent.,8
335,335.png,Find x. Assume that segments that appear to be tangent are tangent.,36
336,336.png,Polygon $BCDE$ $\cong$ polygon $RSTU$. Find $x$.,20
337,337.png,Use parallelogram ABCD to find $m\angle BCD$,52
338,338.png,Find the value of x.,3
339,339.png,Each pair of polygons is similar. Find y.,30
340,340.png,"If $LK=4,MP=3,PQ=6,KJ=2,RS=6$, and $LP=2$, find $QR$.",3
341,341.png,Find y.,\frac { 325 } { 6 }
342,342.png,"In the figure, $a ∥ b, c ∥ d$, and $m∠4 = 57$. Find the measure of $\angle 5$.",123
343,343.png,Find x. Round the side measure to the nearest tenth.,14.9
344,344.png,Find $x$.,12
345,345.png,"If $A D=8, A E=12,$ and $E C=18,$ find $A B$",20
346,346.png,Find the exact circumference of each circle.,5 \pi
347,347.png,Find the area of the blue region.,17.5
348,348.png,Find $\angle B$ of quadrilateral ABCD,90
349,349.png,Find y.,3 \sqrt { 5 }
350,350.png,"A plane travels from Des Moines to Phoenix, on to Atlanta, and back to Des Moines, as shown below. Find the distance in miles from  Atlanta to Des Moines if the total trip was 3482 miles.",738
351,351.png,"In the figure, $m ∠ 12 = 64$. Find the measure of $ \angle 5$.",64
352,352.png,The triangle is inscribed into the circle. Find the exact circumference of the circle.,12 \pi
353,353.png,"Quadrilateral WXYZ is a rectangle.  If $PY = 3x - 5$ and $WP = 2x + 11$, find $ZP$.",43
354,354.png,"$A E$ is a tangent. If $A D=12$ and $F E=18$, how long is $A E$ to the nearest tenth unit?",27.5
355,355.png,Find $y$.,8
356,356.png,Find the perimeter or circumference of the figure. Round to the nearest tenth.,16
357,357.png,Find the area of the sector. Round to the nearest tenth.,2.5
358,358.png,Find x.,5 \sqrt { 3 }
359,359.png,Find x. Assume that any segment that appears to be tangent is tangent.,130
360,360.png,"In $\odot J$, $GH=9$ and $KL=4x+1$. Find $x$.",2
361,361.png,Use parallelogram JKLM to find $m \angle JML$ if $J K=2 b+3$ and $J M=3 a$.,80
362,362.png,Find $m\angle E$,78
363,363.png,"QRST is an isosceles trapezoid with median $\overline{X Y}$
Find $T S$ if $Q R=22$ and $X Y=15$",8
364,364.png,The two circles are congruent. Find $x$.,16
365,365.png,"If $\triangle SRY \sim \triangle WXQ, \overline{RT} $ is an altitude of $\triangle SRY$, $\overline{XV}$ is an altitude of $\triangle WXQ, RT=5, RQ=4, QY=6$, and $Y X=2,$ find $XV$.",4
366,366.png,Find $x$.,75
367,367.png,Find $x$.,27
368,368.png,Find $y$ in $\triangle P Q R$,2 \sqrt { 3 }
369,369.png,Find x.,26
370,370.png,"If $m \angle AED=95$ and $m \widehat{AD}=120$, what is $m \angle BAC$?",35
371,371.png,Find the area of the shaded region. Round to the nearest tenth if necessary.,202
372,372.png,"In $\odot C$, $m \angle HCG=2x$ and $m \angle HCD=6x+28$, find $m \widehat {EF}$.",52
373,373.png,"$UJ=9, VJ=3$, and $ZT=18$. Find $YJ$.",4.5
374,374.png,Find the area of a regular pentagon with a perimeter of 40 centimeters.,110
375,375.png,Find x. Assume that segments that appear to be tangent are tangent.,16
376,376.png,Find the measure of $\angle 2$.,53
