id,category,body,subject
56,business_request,"Dorothy Keane, could you share the Stream Origami technical document pack with Northbridge? They need the technical bundle by April 28.",Thoughts on the attached pack
57,business_request,"Dorothy Keane, following up on the Program Brio budget. Can you share the updated budget numbers by May 6?",Thoughts on the spending side
58,business_request,"Dorothy Keane, please capture the updated performance requirements for Program Jade in the shared doc and tighten the scope by May 30.",Regarding the ask summary
59,business_request,"Dorothy Keane, the Stream Torrent renewal contract is nearly ready. Could you confirm the renewal amount of $464,900 and send it to Orbitron?",Contract for Stream Torrent
60,business_request,"Dorothy Keane, we need your executive approval on the Program Cinder budget of $582,500 by March 29. Please reply with your executive sign off.",About the decision window
61,business_request,"Dorothy Keane, we still need the signed Project Ridgeline financial document. Can you forward the finance document to Quicksilver Media by December 24?",Contract for Project Ridgeline
62,business_request,"Edward Stanford, can you handle the Stream Morrow compliance approval flow this week? We need the compliance approval signed by the first week of the quarter.",Stream Morrow documents
63,business_request,"Edward Stanford, could you share the Project Ridgeline technical document pack with Stonehill Provisions? They need the technical bundle by January 14.",Quick note: the shared brief
64,business_request,"Edward Stanford, please capture the updated performance requirements for Initiative Gale in the shared doc and take a first pass by March 21.",Initiative Gale approval
65,business_request,"Edward Stanford, we need your executive approval on the Program Halyard budget of $31,750 by January 8. Please reply with your executive sign off.",Follow up on Program Halyard
66,business_request,"Elena Marsh, could you share the Initiative Lumen technical document pack with Northbridge? They need the technical bundle by June 23.",On the reference dossier
67,business_request,"Elena Marsh, could you share the Project Willow technical document pack with Northbridge? They need the technical bundle by June 15.",Following up on the build specifications
68,business_request,"Elena Marsh, following up on the Initiative Delta budget. Can you share the updated budget numbers by July 9?",Following up on the accounting picture
69,business_request,"Elena Marsh, following up on the Project Moonstone budget. Can you share the updated budget numbers by the end of this quarter?",About the period close review
70,business_request,"Elena Marsh, following up on the Project Nimbus budget. Can you share the updated budget numbers by March 21?",About the period close review
71,business_request,"Elena Marsh, following up on the Project Thistle budget. Can you share the updated budget numbers by August 26?",About the accounting picture
72,business_request,"Elena Marsh, please capture the updated performance requirements for Initiative Gale in the shared doc and line up a demo by July 9.",Initiative Gale approval
73,business_request,"Elena Marsh, please capture the updated performance requirements for Stream Nectar in the shared doc and trim the deck by May 30.",Following up on the speed targets
74,business_request,"Elena Marsh, we need your executive approval on the Initiative Harper budget of $121,500 by June 23. Please reply with your executive sign off.",Thoughts on the senior decision path
75,business_request,"Farah Qureshi, could you share the Stream Rival technical document pack with Quillwork? They need the technical bundle by February 11.",About the materials pack
76,business_request,"Farah Qureshi, following up on the Program Aster budget. Can you share the updated budget numbers by February 2?",Quick note: the period close review
77,business_request,"Farah Qureshi, please capture the updated performance requirements for Initiative Citrine in the shared doc and firm up the estimates by October 29.",Initiative Citrine approval
78,business_request,"Farah Qureshi, please capture the updated performance requirements for Initiative Everest in the shared doc and refresh the numbers by October 21.",Following up on the speed targets
79,business_request,"Farah Qureshi, please capture the updated performance requirements for Program Fable in the shared doc and close out the outstanding items by February 27.",On the scope outline
80,business_request,"Farah Qureshi, the Project Moonstone renewal contract is nearly ready. Could you confirm the renewal amount of $410,800 and send it to Kernel Mint?",Question about the agreement draft
81,business_request,"Farah Qureshi, the Project Velvet renewal contract is nearly ready. Could you confirm the renewal amount of $162,300 and send it to Orbitron?",Budget for Project Velvet
82,business_request,"Farah Qureshi, we need your executive approval on the Project Orchid budget of $24,000 by March 4. Please reply with your executive sign off.",Project Orchid documents
83,business_request,"Felicity Hargrove, could you share the Stream Larkspur technical document pack with Dynotech? They need the technical bundle by November 6.",Contract for Stream Larkspur
84,business_request,"Felicity Hargrove, please capture the updated performance requirements for Project Velvet in the shared doc and consolidate feedback by November 30.",Follow up on Project Velvet
85,business_request,"Felicity Hargrove, the Project Sable renewal contract is nearly ready. Could you confirm the renewal amount of $716,500 and send it to Orbitron?",On the agreement review
86,business_request,"Felicity Hargrove, we still need the signed Project Velvet financial document. Can you forward the finance document to Quicksilver Media by March 21?",Project Velvet approval
87,business_request,"Gideon Holt, could you share the Stream Nectar technical document pack with Xanthe Dynamics? They need the technical bundle by March 13.",Thoughts on the implementation set
88,business_request,"Gideon Holt, following up on the Program Glint budget. Can you share the updated budget numbers by September 27?",Thoughts on the fiscal window
89,business_request,"Gideon Holt, we still need the signed Initiative Basalt financial document. Can you forward the finance document to Umbracore by February 19?",Follow up on Initiative Basalt
90,business_request,"Graham Whitaker, can you handle the Program Aster compliance approval flow this week? We need the compliance approval signed by July 1.",Follow up on Program Aster
91,business_request,"Graham Whitaker, could you share the Project Zephyr technical document pack with Hexcom? They need the technical bundle by June 23.",Regarding the reference dossier
92,business_request,"Graham Whitaker, following up on the Project Nimbus budget. Can you share the updated budget numbers by December 16?",About the spending side
93,business_request,"Graham Whitaker, following up on the Project Sable budget. Can you share the updated budget numbers by April 5?",About the spending side
94,business_request,"Graham Whitaker, the Program Glint renewal contract is nearly ready. Could you confirm the renewal amount of $375,400 and send it to Northbridge?",On the agreement review
95,business_request,"Graham Whitaker, we need your executive approval on the Initiative Juno budget of $18,300 by June 7. Please reply with your executive sign off.",Following up on the decision window
96,business_request,"Graham Whitaker, we need your executive approval on the Project Sable budget of $464,900 by Monday next week. Please reply with your executive sign off.",About the senior decision path
97,business_request,"Graham Whitaker, we still need the signed Program Ingot financial document. Can you forward the finance document to Starmount by the first week of the quarter?",On the money sheet
98,business_request,"Hannah Pierce, can you handle the Program Drake compliance approval flow this week? We need the compliance approval signed by January 14.",Following up on the policy review pass
99,business_request,"Hannah Pierce, please capture the updated performance requirements for Project Thistle in the shared doc and mark up the draft by November 30.",Follow up on Project Thistle
100,business_request,"Hannah Pierce, the Initiative Basalt renewal contract is nearly ready. Could you confirm the renewal amount of $74,900 and send it to Verdant Analytics?",On the signed piece
101,business_request,"Hannah Pierce, the Program Ensign renewal contract is nearly ready. Could you confirm the renewal amount of $324,500 and send it to Havenwood Group?",About the roll forward piece
102,business_request,"Hannah Pierce, we still need the signed Initiative Juno financial document. Can you forward the finance document to Acme Partners by May 6?",Initiative Juno approval
103,business_request,"Hannah Pierce, we still need the signed Project Kestrel financial document. Can you forward the finance document to Ridgepole by February 11?",Contract for Project Kestrel
104,business_request,"Helena Rourke, can you handle the Program Cinder compliance approval flow this week? We need the compliance approval signed by August 18.",Regarding the sign off lane
105,business_request,"Helena Rourke, can you handle the Program Glint compliance approval flow this week? We need the compliance approval signed by August 2.",Program Glint approval
106,business_request,"Helena Rourke, can you handle the Stream Nectar compliance approval flow this week? We need the compliance approval signed by June 15.",Thoughts on the go ahead
107,business_request,"Helena Rourke, could you share the Project Xenon technical document pack with Nightowl Security? They need the technical bundle by December 24.",About the implementation set
108,business_request,"Helena Rourke, following up on the Project Prism budget. Can you share the updated budget numbers by April 28?",Quick note: the revised numbers
109,business_request,"Helena Rourke, following up on the Project Yew budget. Can you share the updated budget numbers by May 14?",Quick note: the fiscal window
110,business_request,"Helena Rourke, we need your executive approval on the Project Sable budget of $217,800 by October 21. Please reply with your executive sign off.",Question about the green light
111,business_request,"Helena Rourke, we still need the signed Program Glint financial document. Can you forward the finance document to Kettlewood by February 2?",Question about the materials pack
112,business_request,"Hi Aaron Blackwell, please circulate the Initiative Basalt brief document ahead of August 2 and sanity check.",Contract for Initiative Basalt
113,business_request,"Hi Aaron Blackwell, please draft the Program Jade contract so the legal team can review the contract terms before the following Wednesday.",About the counsel notes
114,business_request,"Hi Aaron Blackwell, quick follow up on the Verdant Analytics contract for Program Brio. The team flagged the contract value of $764,900, due March 29.",On the clause annotations
115,business_request,"Hi Alice Nguyen, could you send over the latest quarterly budget figures for Initiative Koi before October 29? We need them for the $74,900 sign off.",Thoughts on the financial outlook view
116,business_request,"Hi Alice Nguyen, could you send over the latest quarterly budget figures for Program Fable before November 22? We need them for the $521,700 sign off.",Following up on the fiscal window
117,business_request,"Hi Alice Nguyen, could you send over the latest quarterly budget figures for Project Prism before December 16? We need them for the $261,200 sign off.",Following up on the money figures
118,business_request,"Hi Alice Nguyen, please circulate the Initiative Harper brief document ahead of August 26 and nudge the stakeholders.",Quick note: the implementation set
119,business_request,"Hi Alice Nguyen, please circulate the Stream Quench brief document ahead of August 26 and run a tabletop exercise.",Following up on the implementation set
120,business_request,"Hi Alice Nguyen, please draft the Program Ingot contract so the legal team can review the contract terms before November 6.",Following up on the paperwork bundle
121,business_request,"Hi Alice Nguyen, please draft the Project Quartz contract so the legal team can review the contract terms before May 30.",Question about the doc edits
122,business_request,"Hi Alice Nguyen, the Project Liberty functional requirements list is short by a few items. Could you refresh the functional requirements with Kettlewood and merge the comments?",Follow up on Project Liberty
123,business_request,"Hi Alice Nguyen, the team is asking for approval on the updated Initiative Koi plan. Could you provide the approval by March 13?",On the top of house go
124,business_request,"Hi Alice Nguyen, the team is asking for approval on the updated Project Ember plan. Could you provide the approval by the following Wednesday?",Regarding the sign off lane
125,business_request,"Hi Beatrix Moreno, could you send over the latest quarterly budget figures for Stream Origami before July 1? We need them for the $561,800 sign off.",Thoughts on the financial outlook view
126,business_request,"Hi Beatrix Moreno, please circulate the Project Ember brief document ahead of February 19 and flag blockers.",Regarding the build specifications
127,business_request,"Hi Beatrix Moreno, the Initiative Lumen functional requirements list is short by a few items. Could you refresh the functional requirements with Juno Rail and package up the findings?",On the behavior expectations
128,business_request,"Hi Beatrix Moreno, the Program Cinder functional requirements list is short by a few items. Could you refresh the functional requirements with Umbracore and lock the timeline?",Thoughts on the target criteria
129,business_request,"Hi Beatrix Moreno, the Project Harbor functional requirements list is short by a few items. Could you refresh the functional requirements with Verdant Analytics and flesh out the proposal?",Thoughts on the scope outline
130,business_request,"Hi Beatrix Moreno, the Project Sable functional requirements list is short by a few items. Could you refresh the functional requirements with Cadence Labs and surface the risks?",Regarding the ask summary
131,business_request,"Hi Brandon Lee, could you send over the latest quarterly budget figures for Program Ensign before March 4? We need them for the $68,400 sign off.",About the financial outlook view
132,business_request,"Hi Brandon Lee, could you send over the latest quarterly budget figures for Project Orchid before May 14? We need them for the $248,500 sign off.",On the accounting picture
133,business_request,"Hi Brandon Lee, could you send over the latest quarterly budget figures for Project Zephyr before February 19? We need them for the $148,700 sign off.",Regarding the revised numbers
134,business_request,"Hi Brandon Lee, please circulate the Initiative Aurora brief document ahead of November 22 and set expectations with partners.",Regarding the reference dossier
135,business_request,"Hi Brandon Lee, please draft the Initiative Koi contract so the legal team can review the contract terms before April 5.",Follow up on Initiative Koi
136,business_request,"Hi Brandon Lee, the Initiative Everest functional requirements list is short by a few items. Could you refresh the functional requirements with Featherstone and draft a rollout plan?",Initiative Everest documents
137,business_request,"Hi Brandon Lee, the Project Ridgeline functional requirements list is short by a few items. Could you refresh the functional requirements with Acme Partners and line up a demo?",On the target criteria
138,business_request,"Hi Brandon Lee, the team is asking for approval on the updated Stream Kalm plan. Could you provide the approval by March 4?",About the decision window
139,business_request,"Hi Carla Simmons, the team is asking for approval on the updated Project Quartz plan. Could you provide the approval by November 30?",Quick note: the sign off lane
140,business_request,"Hi Chase Arellano, please draft the Initiative Basalt contract so the legal team can review the contract terms before June 7.",Regarding the doc edits
141,business_request,"Hi Chase Arellano, please draft the Initiative Everest contract so the legal team can review the contract terms before May 30.",Quick note: the signed terms
142,business_request,"Hi Chase Arellano, please draft the Project Nimbus contract so the legal team can review the contract terms before November 22.",Project Nimbus documents
143,business_request,"Hi Chase Arellano, please draft the Stream Morrow contract so the legal team can review the contract terms before September 3.",Follow up on Stream Morrow
144,business_request,"Hi Chase Arellano, please draft the Stream Quench contract so the legal team can review the contract terms before September 3.",Contract for Stream Quench
145,business_request,"Hi Chase Arellano, quick follow up on the Whetstone Finance contract for Project Quartz. The team flagged the contract value of $464,900, due September 19.",Regarding the doc edits
146,business_request,"Hi Chase Arellano, the Program Glint functional requirements list is short by a few items. Could you refresh the functional requirements with Trailhead Data and trim the deck?",Contract for Program Glint
147,business_request,"Hi Derek Park, could you send over the latest quarterly budget figures for Project Zephyr before December 24? We need them for the $446,200 sign off.",Project Zephyr approval
148,business_request,"Hi Derek Park, could you send over the latest quarterly budget figures for Stream Larkspur before March 13? We need them for the $204,600 sign off.",Quick note: the period close review
149,business_request,"Hi Derek Park, quick follow up on the Acme Partners contract for Project Ridgeline. The team flagged the contract value of $248,500, due December 16.",Quick note: the signed terms
150,business_request,"Hi Derek Park, the Project Harbor functional requirements list is short by a few items. Could you refresh the functional requirements with Maplecore and merge the comments?",Following up on the needs list
151,business_request,"Hi Dorothy Keane, could you send over the latest quarterly budget figures for Program Drake before August 18? We need them for the $137,200 sign off.",Contract for Program Drake
152,business_request,"Hi Dorothy Keane, could you send over the latest quarterly budget figures for Stream Quench before August 18? We need them for the $464,900 sign off.",Following up on the revised numbers
153,business_request,"Hi Dorothy Keane, please circulate the Initiative Harper brief document ahead of December 8 and validate the edge cases.",Follow up on Initiative Harper
154,business_request,"Hi Dorothy Keane, please circulate the Initiative Juno brief document ahead of March 29 and lock the timeline.",Initiative Juno documents
155,business_request,"Hi Dorothy Keane, please circulate the Initiative Lumen brief document ahead of the end of this quarter and take a first pass.",Following up on the build specifications
156,business_request,"Hi Dorothy Keane, please draft the Initiative Gale contract so the legal team can review the contract terms before November 30.",Quick note: the doc edits
157,business_request,"Hi Dorothy Keane, the Program Brio functional requirements list is short by a few items. Could you refresh the functional requirements with Ridgepole and set expectations with partners?",Thoughts on the needs list
158,business_request,"Hi Dorothy Keane, the Program Fable functional requirements list is short by a few items. Could you refresh the functional requirements with Xact Robotics and walk the plan by legal?",On the ask summary
159,business_request,"Hi Dorothy Keane, the Project Moonstone functional requirements list is short by a few items. Could you refresh the functional requirements with Tidewater Partners and set expectations with partners?",Following up on the scope outline
160,business_request,"Hi Dorothy Keane, the Stream Larkspur functional requirements list is short by a few items. Could you refresh the functional requirements with Evercrest and trim the deck?",Question about the capability outline
161,business_request,"Hi Dorothy Keane, the team is asking for approval on the updated Initiative Everest plan. Could you provide the approval by November 6?",Initiative Everest approval
162,business_request,"Hi Dorothy Keane, the team is asking for approval on the updated Program Drake plan. Could you provide the approval by October 21?",Quick note: the senior decision path
163,business_request,"Hi Dorothy Keane, the team is asking for approval on the updated Stream Kalm plan. Could you provide the approval by September 11?",Contract for Stream Kalm
164,business_request,"Hi Edward Stanford, please circulate the Initiative Juno brief document ahead of January 22 and refresh the numbers.",Question about the attached pack
165,business_request,"Hi Edward Stanford, please draft the Project Nimbus contract so the legal team can review the contract terms before the following Wednesday.",About the clause annotations
166,business_request,"Hi Edward Stanford, please draft the Project Yew contract so the legal team can review the contract terms before April 28.",Budget for Project Yew
167,business_request,"Hi Edward Stanford, quick follow up on the Northbridge contract for Stream Quench. The team flagged the contract value of $483,600, due Monday next week.",Quick note: the clause annotations
168,business_request,"Hi Edward Stanford, the Initiative Gale functional requirements list is short by a few items. Could you refresh the functional requirements with Meridian Grid and take a first pass?",Regarding the ask summary
169,business_request,"Hi Edward Stanford, the team is asking for approval on the updated Program Brio plan. Could you provide the approval by June 23?",Following up on the top of house go
170,business_request,"Hi Elena Marsh, please circulate the Project Velvet brief document ahead of Monday next week and mark up the draft.",Project Velvet documents
171,business_request,"Hi Elena Marsh, please draft the Program Brio contract so the legal team can review the contract terms before August 26.",Question about the agreement draft
172,business_request,"Hi Elena Marsh, please draft the Stream Kalm contract so the legal team can review the contract terms before July 25.",Contract for Stream Kalm
173,business_request,"Hi Elena Marsh, quick follow up on the Ironvale contract for Initiative Gale. The team flagged the contract value of $12,500, due July 25.",Budget for Initiative Gale
174,business_request,"Hi Elena Marsh, the team is asking for approval on the updated Project Harbor plan. Could you provide the approval by April 28?",Thoughts on the sign off lane
175,business_request,"Hi Farah Qureshi, could you send over the latest quarterly budget figures for Project Thistle before May 14? We need them for the $410,800 sign off.",Regarding the cycle outlook summary
176,business_request,"Hi Farah Qureshi, could you send over the latest quarterly budget figures for Project Yew before July 25? We need them for the $31,750 sign off.",Thoughts on the spending side
177,business_request,"Hi Farah Qureshi, the team is asking for approval on the updated Program Jade plan. Could you provide the approval by May 30?",About the top of house go
178,business_request,"Hi Felicity Hargrove, could you send over the latest quarterly budget figures for Project Quartz before July 1? We need them for the $692,800 sign off.",Quick note: the accounting picture
179,business_request,"Hi Felicity Hargrove, could you send over the latest quarterly budget figures for Stream Paragon before the end of this quarter? We need them for the $446,200 sign off.",Stream Paragon approval
180,business_request,"Hi Felicity Hargrove, please circulate the Project Xenon brief document ahead of January 14 and trim the deck.",Project Xenon documents
181,business_request,"Hi Felicity Hargrove, please draft the Stream Larkspur contract so the legal team can review the contract terms before July 25.",Question about the counsel notes
182,business_request,"Hi Felicity Hargrove, quick follow up on the Blueleaf Systems contract for Stream Quench. The team flagged the contract value of $428,500, due February 19.",On the paperwork bundle
183,business_request,"Hi Felicity Hargrove, quick follow up on the Emberline Goods contract for Project Liberty. The team flagged the contract value of $603,200, due December 8.",Project Liberty approval
184,business_request,"Hi Felicity Hargrove, the team is asking for approval on the updated Project Prism plan. Could you provide the approval by February 27?",Regarding the go ahead
185,business_request,"Hi Felicity Hargrove, the team is asking for approval on the updated Project Umbra plan. Could you provide the approval by August 2?",Regarding the top of house go
186,business_request,"Hi Gideon Holt, could you send over the latest quarterly budget figures for Project Nimbus before May 22? We need them for the $292,300 sign off.",About the fiscal window
187,business_request,"Hi Gideon Holt, please circulate the Stream Saffron brief document ahead of December 24 and review and approve.",Stream Saffron approval
188,business_request,"Hi Gideon Holt, please draft the Program Aster contract so the legal team can review the contract terms before March 29.",Contract for Program Aster
189,business_request,"Hi Gideon Holt, the Project Moonstone functional requirements list is short by a few items. Could you refresh the functional requirements with Deepfield and take a first pass?",Thoughts on the needs list
190,business_request,"Hi Graham Whitaker, could you send over the latest quarterly budget figures for Stream Nectar before June 23? We need them for the $248,500 sign off.",On the spending side
191,business_request,"Hi Graham Whitaker, please circulate the Stream Larkspur brief document ahead of June 23 and audit the latest state.",Contract for Stream Larkspur
192,business_request,"Hi Graham Whitaker, please circulate the Stream Origami brief document ahead of February 2 and schedule a checkpoint.",Budget for Stream Origami
193,business_request,"Hi Graham Whitaker, please draft the Project Quartz contract so the legal team can review the contract terms before December 24.",Thoughts on the doc edits
194,business_request,"Hi Graham Whitaker, the Initiative Aurora functional requirements list is short by a few items. Could you refresh the functional requirements with Greystone Capital and consolidate feedback?",About the needs list
195,business_request,"Hi Graham Whitaker, the team is asking for approval on the updated Stream Torrent plan. Could you provide the approval by February 2?",Thoughts on the top of house go
196,business_request,"Hi Hannah Pierce, could you send over the latest quarterly budget figures for Initiative Lumen before February 19? We need them for the $175,900 sign off.",Thoughts on the period close review
197,business_request,"Hi Hannah Pierce, please circulate the Project Prism brief document ahead of November 6 and review and approve.",Thoughts on the reference set
198,business_request,"Hi Hannah Pierce, please draft the Project Liberty contract so the legal team can review the contract terms before May 22.",Question about the agreement draft
199,business_request,"Hi Hannah Pierce, quick follow up on the Featherstone contract for Initiative Delta. The team flagged the contract value of $12,500, due February 19.",Regarding the signed piece
200,business_request,"Hi Hannah Pierce, quick follow up on the Ironvale contract for Project Harbor. The team flagged the contract value of $308,900, due March 13.",Thoughts on the agreement draft
201,business_request,"Hi Hannah Pierce, the Project Yew functional requirements list is short by a few items. Could you refresh the functional requirements with Orbitron and audit the latest state?",On the feature list summary
202,business_request,"Hi Hannah Pierce, the team is asking for approval on the updated Project Zephyr plan. Could you provide the approval by September 19?",About the senior decision path
203,business_request,"Hi Helena Rourke, quick follow up on the Cadence Labs contract for Project Velvet. The team flagged the contract value of $204,600, due November 6.",Project Velvet approval
204,business_request,"Hi Helena Rourke, quick follow up on the Maplecore contract for Project Quartz. The team flagged the contract value of $375,400, due January 8.",Question about the signed terms
205,business_request,"Hi Helena Rourke, quick follow up on the Zenithworks contract for Project Thistle. The team flagged the contract value of $204,600, due November 6.",Quick note: the paperwork bundle
206,business_request,"Hi Isaac Bennett, quick follow up on the Velvet Fox contract for Program Brio. The team flagged the contract value of $764,900, due October 13.",Quick note: the signed piece
207,business_request,"Hi Isaac Bennett, the Initiative Aurora functional requirements list is short by a few items. Could you refresh the functional requirements with Brickhouse Interactive and package up the findings?",On the capability outline
208,business_request,"Hi Isaac Bennett, the team is asking for approval on the updated Project Nimbus plan. Could you provide the approval by November 22?",Regarding the senior decision path
209,business_request,"Hi Ivan Petrescu, could you send over the latest quarterly budget figures for Project Xenon before May 30? We need them for the $740,200 sign off.",Regarding the cycle outlook summary
210,business_request,"Hi Ivan Petrescu, could you send over the latest quarterly budget figures for Stream Kalm before the end of this quarter? We need them for the $582,500 sign off.",Regarding the spending side
